Name,Goal,Status,Currency,DeadlineDate,NamefromUrl,N_Category,N_Location,N_min_Price,N_FAQ,N_Updates,N_Comments,N_ScrapeDate,D_Target,D_backers,D_TotalAmountPledged,D_FAQ,D_updates,D_Comments,D_StartDate,D_EndDate,D_ended
Ducks Lost in the Dungeons of Doom IV: Quack Keep,1000,live,NZD,12-11-2017,ducks-lost-in-the-dungeons-of-doom-iv-quack-keep,Tabletop Games,Hamilton NZ,15,0,3,56,11-21-2017,1,159,18523,0,0,0,11-21-2017,12-10-2017,ended
Hero: Prepare your champion - From sketch to final artwork,2000,live,MXN,12-01-2017,hero-prepare-your-champion-from-sketch-to-final-ar,Tabletop Games,Mexico City Mexico,0,0,0,0,11-15-2017,1,39,10165,0,0,0,11-15-2017,11-30-2018,ended
Animator vs Animation The Official Card Game,4000,live,USD,12-15-2017,animator-vs-animation-the-official-card-game,Tabletop Games,Miami FL,23,0,1,2,11-21-2017,1,421,11915,0,0,0,11-21-2017,12-14-2018,ended
Debtzilla | Secret Identity Superhero Board Game,10888,live,SGD,12-07-2017,debtzilla-secret-identity-superhero-board-game,Tabletop Games,Singapore Singapore,25,0,5,39,11-22-2017,1,305,20462,0,0,0,11-07-2017,12-07-2018,ended
FUNDED!: Henchman: The Game,10000,live,USD,12-01-2017,henchman-the-game,Tabletop Games,Troy NY,20,4,11,4,11-22-2017,1,144,11140,0,0,0,11-01-2017,12-01-2018,ended
Be Back Soon!,999,live,USD,01-27-2018,outofbody,Video Games,Des Moines IA,10,0,0,0,11-28-2017,0,19,666,0,3,6,11-28-2017,01-27-2018,ended
Backerworld: The Game Made by Kickstarter,15820,live,USD,12-01-2017,backerworld-the-game-made-by-kickstarter,Video Games,Seattle WA,0,0,0,0,11-22-2017,0,22,687,4,5,2,11-01-2017,12-01-2017,ended
Veggiechop! make/100,1250,live,USD,02-09-2018,veggiechop-make-100,Games,Manila Philippines,15,0,0,0,01-14-2018,0,0,0,0,0,0,01-13-2018,01-15-2018,ended
Get a head in 2018 with 28mm replacement heads,500,live,AUD,02-26-2018,get-a-head-in-2018-with-28mm-replacement-heads,Tabletop Games,Adelaide AU,0,0,0,0,01-27-2018,0,11,301,0,4,0,01-27-2018,02-11-2018,ended
D13 RPG - Personalized Premium Ltd Ed,4000,live,USD,02-01-2018,d13-rpg-personalized-premium-ltd-ed,Tabletop Games,Dwight NE,35,0,1,14,01-10-2018,1,250,9222,0,0,0,01-09-2018,02-01-2018,ended
TerrainCrafter 28mm Silicone Floor Terrain Molds - Make 100,1000,live,USD,02-25-2018,terraincrafter-28mm-silicone-floor-terrain-molds-m,Tabletop Games,Houston TX,6,0,0,0,01-26-2018,0,5,296,0,2,4,01-26-2018,02-23-2018,ended
The Complete Vigilante Hack - Make/100 L.E. 3-in-1 RPG,640,live,USD,01-17-2018,the-complete-vigilante-hack-make-100-le-3-in-1-rpg,Tabletop Games,Louisville KY,0,0,1,21,01-09-2018,1,73,1923,0,0,0,01-09-2018,01-16-2018,ended
Re-Chord,7500,live,USD,02-08-2018,re-chord-0,Tabletop Games,San Antonio TX,38,4,1,33,01-09-2018,1,746,29453,0,0,0,01-09-2018,02-08-2018,ended
Elven Lords Revisited: a Make 100 Solo Adventure,9000,live,USD,02-12-2018,elven-lords-revisited-a-make-100-solo-adventure,Tabletop Games,Scottsdale AZ,5,0,0,20,01-22-2018,1,562,19459,0,0,0,01-22-2018,02-12-2018,ended
Lightning & Bolt â€” an asymmetric co-op superhero adventure!,3500,live,USD,02-14-2018,lightning-and-bolt-an-asymmetric-co-op-superhero-a,Tabletop Games,Washington DC,5,0,2,44,01-31-2018,1,550,5550,0,0,0,01-31-2018,02-14-2018,ended
Migoâ€”A Portable Internet-enabled 3D Printer,100000,live,USD,12-14-2017,migoa-portable-internet-enabled-3d-printer,3D Printing,Ningbo China,149,0,0,6,11-14-2017,1,556,156967,0,0,0,11-14-2017,12-14-2018,ended
Plusboard | An A+ prototyping experience for makers,8000,live,SGD,12-25-2017,plusboard-an-a-prototyping-experience-for-makers,DIY Electronics,Singapore Singapore,9,0,0,3,11-15-2017,0,275,10008,0,6,24,11-15-2017,12-15-2017,ended
A Multimeter Oscilloscope & Logger that Fits in Your Pocket,20000,live,AUD,12-29-2017,a-multimeter-oscilloscope-and-logger-that-fits-in,DIY Electronics,Sydney AU,77,0,1,11,11-29-2017,1,2295,227981,0,0,0,11-29-2017,12-29-2017,ended
PITTA - Transformative Autonomous 4K Selfie Drone,50000,live,USD,02-03-2018,pitta-transformative-autonomous-4k-selfie-drone,Flight,Los Angeles CA,268,0,0,18,12-20-2017,1,1706,556709,0,0,0,12-20-2017,02-03-2018,ended
LuminAID Smart Solar Garden: Wireless Outdoor Illumination,20000,live,USD,12-15-2017,smart-solar-garden-customize-light-for-any-space,Gadgets,Chicago IL,69,17,2,7,11-14-2017,1,662,104901,0,0,0,11-07-2017,12-15-2018,ended
Chappet: A magical button that lets your stuffed toy talk,10000,live,USD,12-04-2017,chappet-a-magical-button-that-lets-your-stuffed-to,Gadgets,San Francisco CA,46,0,0,0,11-13-2017,0,27,600,0,0,0,11-13-2017,12-01-2017,ended
PocketLab Air: Measure What's in Your Air,25000,live,USD,12-21-2017,pocketlab-air-measure-whats-in-your-air,Gadgets,San Jose CA,198,0,0,0,11-14-2017,1,510,118164,0,0,0,11-14-2017,12-20-2017,ended
Rocking Monsters: Amazing Wooden 'Horses' For Amazing Kids,5000,live,USD,01-20-2018,rocking-monsters,Games,San Francisco CA,99,0,1,5,12-27-2017,1,78,9207,0,0,0,12-05-2017,01-19-2018,ended
CoDi: Game changing dice!,1000,live,USD,01-12-2018,codi-game-changing-dice,Games,Saxonville Framingham MA,48,0,0,2,12-12-2017,1,472,25950,0,0,0,12-12-2017,01-12-2018,ended
BoxLock Home - Smart Padlock for Protecting Deliveries,20000,live,USD,12-15-2017,boxlock-home-smart-padlock-for-protecting-deliveri,Hardware,Atlanta GA,109,13,0,6,11-14-2017,1,477,54407,0,0,0,11-14-2017,12-15-2017,ended
Pip - Digital Creation in your Pocket,30000,live,GBP,12-14-2017,pip-the-playful-handheld-device-you-program-yourse,Hardware,Glasgow UK,15,0,0,0,11-14-2017,1,241,40031,0,0,0,11-14-2017,12-14-2017,ended
GameShell - Redefine Retro Game Console,50000,live,USD,12-19-2017,gameshell-redefine-retro-game-console,Hardware,Hangzhou China,89,0,0,27,11-14-2017,1,2620,290429,0,0,0,11-14-2017,12-19-2018,ended
Mycroft Mark II: The Open Voice Assistant,50000,live,USD,02-24-2018,mycroft-mark-ii-the-open-voice-assistant,Hardware,Kansas City MO,50,0,1,34,01-25-2018,1,2245,394572,0,0,0,01-25-2018,02-24-2018,ended
NeuroBytes: Electronic Neuron Simulators,25000,live,USD,12-15-2017,neurobytes-electronic-neuron-simulators,Hardware,Minneapolis MN,19,0,0,2,11-15-2017,1,140,33924,0,0,0,11-15-2017,12-15-2018,ended
LaVie Unlimited Pure Mineral Water with Unbeatable Taste!,50000,live,USD,02-28-2018,lavie-unlimited-pure-mineral-water-with-unbeatable,Hardware,San Francisco CA,25,20,0,3,01-24-2018,1,444,92368,0,0,0,01-24-2018,02-28-2018,ended
Pointâ€”the Friendly Home Alarm,25000,live,USD,12-23-2017,pointthe-friendly-home-alarm,Hardware,San Francisco CA,69,2,1,34,11-21-2017,1,2139,312061,0,0,0,11-21-2017,12-22-2017,ended
Artist Playing Cards in Ink Tea and Alcohol printed by USPCC,1000,live,GBP,02-04-2018,carne-griffiths-artist-playing-cards-in-ink-tea-an,Playing Cards,London UK,22,0,0,17,01-10-2018,1,967,32462,0,0,0,01-05-2018,02-04-2018,ended
World's First Giant Robot Tournament!,950000,live,USD,12-16-2017,worlds-first-giant-robot-tournament,Robots,Hayward CA,10,0,0,13,11-16-2017,0,644,54369,0,2,25,11-16-2017,11-21-2017,ended
Litterati - A Mobile App to Track & Reduce Litter,50000,live,USD,12-13-2017,litterati-join-the-community-thats-cleaning-the-pl,Software,Oakland CA,30,0,0,3,11-13-2017,1,574,51432,0,0,0,11-13-2017,12-13-2017,ended
OneManBand (OMB) - A New Way to Play Guitar,50000,live,USD,01-28-2018,onemanband-a-new-way-to-play-guitar,Sound,New York NY,249,7,1,54,12-04-2017,1,2636,704946,0,0,0,11-29-2017,01-28-2018,ended
MIRAGE: A Feature-Packed Delay Pedal by RedShift Effects,8000,live,CAD,01-17-2018,mirage-a-feature-packed-delay-pedal-by-redshift-ef,Sound,Vancouver Canada,359,0,0,0,12-13-2017,1,44,14478,0,0,0,12-13-2017,01-17-2018,ended
HATE,200000,live,USD,02-07-2018,hate,Tabletop Games,Atlanta GA,0,6,6,952,01-16-2018,1,10227,1469489,0,0,0,01-16-2018,02-07-2018,ended
Pando,25000,live,USD,12-01-2017,pando,Tabletop Games,Boise ID,25,0,1,1,11-22-2017,1,449,25517,0,0,0,11-01-2017,12-01-2018,ended
Human Era,9000,live,USD,12-15-2017,human-era,Tabletop Games,Boston MA,40,0,0,11,11-14-2017,1,1579,45191,0,0,0,11-14-2017,12-15-2018,ended
Ravine,7500,live,USD,12-07-2017,ravine,Tabletop Games,Boulder CO,36,5,4,142,11-22-2017,1,6694,316677,0,0,0,11-07-2017,12-07-2018,ended
Status Report!,17000,live,USD,02-04-2018,status-report-0,Tabletop Games,Brooklyn NY,25,0,0,3,01-02-2018,1,548,19948,0,0,0,01-02-2018,02-03-2018,ended
Black Hole Council,20000,live,USD,02-01-2018,black-hole-council,Tabletop Games,Chicago IL,0,0,0,17,01-02-2018,1,1153,45699,0,0,0,01-02-2018,02-01-2018,ended
Da Share Z0ne: THE DEVIL'S LEVEL Card Game,28800,live,USD,02-21-2018,da-share-z0ne-the-devils-level-card-game,Tabletop Games,Columbus OH,57,0,2,22,01-22-2018,1,3643,227250,0,0,0,01-22-2018,02-21-2018,ended
Potlatch: A Card Game About Coast Salish Economics,2500,live,USD,12-22-2017,potlatch-a-card-game-about-coast-salish-economics,Tabletop Games,Edmonds WA,5,3,9,20,11-22-2017,1,1044,29031,0,0,0,10-23-2017,12-22-2017,ended
Noises At Night,6000,live,USD,02-16-2018,noises-at-night,Tabletop Games,Las Vegas NV,19,0,0,4,01-17-2018,1,852,30556,0,0,0,01-17-2018,02-16-2018,ended
John Carter of Mars - The Roleplaying Game,20000,live,GBP,02-11-2018,john-carter-of-mars-the-roleplaying-game,Tabletop Games,London UK,15,0,2,97,01-09-2018,1,2155,228055,0,0,0,01-09-2018,02-11-2018,ended
Everdell: A Beautiful Board Game of Cards and Critters,35000,live,USD,01-26-2018,everdell-a-beautiful-board-game-of-cards-and-critt,Tabletop Games,Londonderry NH,65,6,1,97,01-09-2018,1,6775,473763,0,0,0,01-09-2018,01-25-2018,ended
Seat Wars - A family board game with a funny sense of humor!,60000,live,MXN,12-30-2017,seat-wars-a-family-board-game-with-a-funny-sense-o,Tabletop Games,Mexico City Mexico,0,0,0,0,12-05-2017,1,222,137511,0,0,0,12-05-2017,12-30-2018,ended
Tiny Epic Zombies - A Game of Brutal Survival,15000,live,USD,02-09-2018,tiny-epic-zombies-a-game-of-brutal-survival,Tabletop Games,Phoenix AZ,20,6,2,500,01-18-2018,1,23425,854483,0,0,0,01-18-2018,02-09-2018,ended
Dawn of Peacemakers,70000,live,USD,12-02-2017,dawn-of-peacemakers,Tabletop Games,Pori Finland,89,12,6,292,11-22-2017,1,692,70455,0,0,0,11-02-2017,12-02-2018,ended
StoryWorld: A world full of stories!,30000,live,MXN,12-11-2017,storyworld-a-world-full-of-stories,Tabletop Games,Puebla Mexico,380,0,9,55,11-22-2017,1,334,183581,0,0,0,11-01-2017,12-11-2018,ended
Evil High Priest,25000,live,USD,12-12-2017,evil-high-priest,Tabletop Games,Rockwall TX,79,4,3,240,11-13-2017,1,1071,97239,0,0,0,11-13-2017,12-11-2018,ended
Gentes - Deluxifiedâ„¢ Edition,40000,live,USD,02-17-2018,gentes-deluxifiedtm-edition,Tabletop Games,Salt Lake City UT,59,4,4,320,01-23-2018,1,7156,484242,0,0,0,01-23-2018,02-17-2018,ended
Kids on Bikes RPG - Strange Adventures in Small Towns,5000,live,USD,11-28-2017,kids-on-bikes-rpg-strange-adventures-in-small-town,Tabletop Games,Toledo OH,20,5,9,140,11-22-2017,1,3069,93471,0,0,0,11-07-2017,11-28-2018,ended
Bixels: DNA Bio-Display,9267,live,EUR,01-18-2018,bixels-dna-bio-display,Technology,Cork Ireland,5,0,0,2,11-29-2017,1,75,9746,0,0,0,11-29-2017,01-18-2018,ended
PAL | A Versatile Rechargeable Light for Home and Outdoors,50000,live,USD,12-14-2017,pal-one-light-limitless-utility,Technology,Dallas TX,49,0,0,5,11-14-2017,1,241,56377,0,0,0,11-14-2017,12-14-2017,ended
Home Computer Museum,20000,live,EUR,01-05-2018,homecomputermuseum,Technology,Helmond Netherlands,8,0,0,1,11-21-2017,0,171,4728,6,6,15,11-21-2017,01-05-2018,ended
#PapierMachine Vol.0: the interactive electronic paper toy,45000,live,EUR,02-18-2018,papier-machine-vol0-the-interactive-electronic-pap,Technology,Paris France,20,11,1,4,01-16-2018,1,1885,122727,0,0,0,01-16-2018,02-18-2018,ended
Codey Rocky: Your new coding companion,100000,live,USD,01-27-2018,codey-rocky-your-new-coding-companion,Technology,San Francisco CA,64,8,0,25,11-28-2017,1,1256,149363,0,0,0,11-28-2017,01-27-2018,ended
Midnight Sun XII - University of Waterloo Solar Car,10000,live,CAD,01-03-2018,midnight-sun-xii-university-of-waterloo-solar-car,Technology,Waterloo Canada,25,0,0,0,12-04-2017,1,155,16058,0,0,0,12-04-2017,01-03-2018,ended
Project Sense - ä¸ç¥¥çš„é¢„æ„Ÿ: A Cyberpunk Ghost Story Adventure,18000,live,USD,12-08-2017,project-sense-a-cyberpunk-ghost-story-adventure,Video Games,Aliso Viejo CA,20,7,2,13,11-22-2017,0,195,7786,7,5,28,11-08-2017,12-04-2017,ended
Time Raid - A Puzzle FPS,60000,live,USD,12-17-2017,time-raid-a-puzzle-fps,Video Games,Ames IA,20,0,0,0,11-16-2017,0,44,3022,0,1,1,11-16-2017,12-01-2017,ended
Introspect: Off-The-Rails Boss Shooter,20000,live,NZD,02-21-2018,introspect-off-the-rails-boss-shooter,Video Games,Auckland NZ,30,0,2,0,01-22-2018,0,66,2862,0,20,0,01-22-2018,02-21-2018,ended
Shadow's Kiss Vampire MMO ~ by Clockwork Throne Studios,25000,live,USD,12-05-2017,shadows-kiss-vampire-mmo-by-clockwork-throne-studi,Video Games,Austin TX,10,8,9,86,11-22-2017,1,884,80414,0,0,0,10-31-2017,12-05-2018,ended
My Uncle Merlin: a Tale of Wizards in Space,22000,live,USD,12-15-2017,my-uncle-merlin-a-tale-of-wizards-in-space,Video Games,Belgrade Serbia,8,0,1,0,11-15-2017,0,158,4050,0,2,9,11-15-2017,12-15-2017,ended
Escape from Mill Station,28000,live,USD,12-20-2017,escape-from-mill-station,Video Games,Bellingham WA,7,6,22,7,11-22-2017,0,32,1020,6,88,15,10-21-2017,12-20-2017,ended
TRÃœBERBROOK â€“ A Nerd Saves the World,80000,live,EUR,12-14-2017,truberbrook-a-nerd-saves-the-world,Video Games,Berlin Germany,25,0,0,38,11-14-2017,1,5078,198142,0,0,0,11-14-2017,12-14-2018,ended
Wolf Gang - A tactical RPG with a twist!,17000,live,CAD,12-01-2017,wolf-gang-a-tactical-rpg-with-a-twist,Video Games,Calgary Canada,10,2,7,0,11-22-2017,0,84,4563,2,8,2,10-31-2017,11-29-2018,ended
The Onus Helm,5500,live,USD,02-01-2018,the-onus-helm,Video Games,Clovis CA,10,0,0,0,01-02-2018,0,147,1926,0,5,10,01-02-2018,02-01-2018,ended
Soulblight,15000,live,CAD,11-26-2017,soulblight,Video Games,Czestochowa Poland,8,0,6,12,11-22-2017,1,429,15965,0,0,0,10-17-2017,11-26-2017,ended
Jack and Casie,14000,live,USD,11-24-2017,jack-and-casie,Video Games,Dallas TX,15,4,1,18,11-22-2017,1,1389,36910,0,0,0,10-25-2017,11-23-2017,ended
Super Science Friends: The Video Game,50000,live,CAD,01-05-2018,super-science-friends-the-videogame,Video Games,Downtown Toronto Canada,15,2,0,8,12-06-2017,0,573,16465,2,8,17,12-06-2017,01-04-2018,ended
Autonauts,40000,live,GBP,11-24-2017,autonauts,Video Games,Dundee UK,8,2,6,33,11-22-2017,0,434,8616,2,6,37,10-25-2017,11-24-2017,ended
Rumours From Elsewhere - Indie Rogue-lite Video Game,15000,live,GBP,02-21-2018,rumours-from-elsewhere-indie-rogue-lite-video-game,Video Games,Falmouth UK,10,0,0,0,01-22-2018,0,69,4280,0,1,0,01-22-2018,02-21-2018,ended
Eden's Last Sunrise: A Classic Tactical RPG with a Twist,25000,live,USD,02-08-2018,edens-last-sunrise-a-classic-tactical-rpg-with-a-t,Video Games,Fort Mill SC,12,0,0,1,01-09-2018,0,281,7330,0,4,31,01-09-2018,02-08-2018,ended
Bushido the Way of Men,10000,live,EUR,12-14-2017,bushido-the-way-of-men,Video Games,France France,22,0,0,2,11-14-2017,0,41,1069,0,4,7,11-14-2017,12-14-2018,ended
Blue Omen Operation - A Stylish and Hot-Blooded RPG,15000,live,USD,12-06-2017,blue-omen-operation-a-stylish-and-hot-blooded-rpg,Video Games,Grand Junction CO,15,5,6,62,11-22-2017,1,2609,62710,0,0,0,11-06-2017,12-06-2018,ended
Batch 17 Kickstarter,10000,live,USD,11-26-2017,batch-17-pre-launch-kickstarter,Video Games,Jacksonville FL,15,0,2,0,11-22-2017,0,30,1118,0,3,1,10-26-2017,11-26-2017,ended
Dunpets Colors - Dungeon Crawl & Pets,15000,live,EUR,12-22-2017,dunpets-colors-dungeon-crawl-and-pets,Video Games,Jaen Spain,8,0,0,0,11-22-2017,0,59,4310,6,2,12,11-22-2017,12-22-2017,ended
Cede,65000,live,USD,12-17-2017,cede,Video Games,Lawrence MA,25,0,14,7,11-22-2017,0,222,13803,0,17,12,11-01-2017,12-15-2018,ended
Cosmos Invictus: A true Sci-Fi Collectible Card Game,20000,live,GBP,03-07-2018,cosmos-invictus-a-true-sci-fi-collectible-card-gam,Video Games,London UK,35,0,0,0,02-05-2018,0,19,3304,0,2,11,02-05-2018,02-16-2018,ended
Du Lac & Fey: Dance Of Death,40000,live,GBP,12-10-2017,du-lac-and-fey-dance-of-death,Video Games,London UK,20,5,7,26,11-22-2017,0,528,20697,5,17,47,10-25-2017,12-08-2017,ended
Vulpine: Be a Fox with a Sword!,22000,live,USD,02-21-2018,vulpine-be-a-fox-with-a-sword-0,Video Games,Madison WI,15,5,0,8,01-17-2018,1,691,26540,0,0,0,01-17-2018,02-20-2018,ended
Wake Up,50000,live,EUR,02-15-2018,wake-up-3,Video Games,Madrid Spain,15,0,0,5,01-16-2018,0,399,9589,1,1,25,01-16-2018,02-15-2018,ended
SkullPirates - A piratey action-RPG,20000,live,USD,12-31-2017,skullpirates-a-piratey-action-rpg,Video Games,Manhattan NY,10,0,1,51,12-01-2017,1,769,52707,0,0,0,12-01-2017,12-31-2017,ended
Broken Reality,12500,live,USD,01-05-2018,broken-reality-0,Video Games,Mexico City Mexico,15,0,0,9,12-06-2017,1,549,14681,0,0,0,12-06-2017,01-05-2018,ended
The Ballad Singer - Write your own fantasy story!,25000,live,EUR,12-17-2017,the-ballad-singer-write-your-own-fantasy-story,Video Games,Milan Italy,15,0,0,8,11-15-2017,1,1186,33472,0,0,0,11-15-2017,12-17-2018,ended
Destination Primus Vita: a narrative puzzle game,50000,live,CAD,12-15-2017,destination-primus-vita-volume-1-a-narrative-puzzl,Video Games,Montreal Canada,8,0,0,2,11-14-2017,1,633,51553,0,0,0,11-14-2017,12-15-2017,ended
Session - Skateboarding simulation game by crea-ture Studios,80000,live,CAD,12-21-2017,session-skateboarding-simulation-game-by-crea-ture,Video Games,Montreal Canada,20,0,1,67,11-21-2017,1,3405,163716,0,0,0,11-21-2017,12-21-2018,ended
War Robots VR,130000,live,USD,12-13-2017,war-robots-vr,Video Games,Moscow Russia,25,6,0,0,11-13-2017,0,265,24811,9,11,20,11-13-2017,12-13-2018,ended
AVARIAvs - The First Competitive PvP JRPG-style Video Game,29000,live,USD,02-16-2018,avariavs-the-first-competitive-pvp-jrpg-style-vide,Video Games,New York NY,15,0,0,3,01-17-2018,1,338,31384,0,0,0,01-17-2018,02-15-2018,ended
Genesis Noir â€“ A Cosmic Adventure,40000,live,USD,02-16-2018,genesis-noir-a-cosmic-adventure,Video Games,New York NY,10,0,0,5,01-17-2018,1,1725,48184,0,0,0,01-17-2018,02-16-2018,ended
Inexplicable Deaths in Damipolis: Inner Thoughts,15000,live,USD,12-09-2017,inexplicable-deaths-in-damipolis-inner-thoughts,Video Games,New York NY,15,0,2,2,11-22-2017,1,111,15908,0,0,0,11-01-2017,12-09-2017,ended
The Padre - A 3D Horror Adventure Voxelized,25000,live,USD,12-05-2017,the-padre-a-horror-adventure-voxelized,Video Games,New York NY,5,0,3,3,11-22-2017,0,60,10034,0,4,3,10-31-2017,11-30-2017,ended
Cells: Chaos Partner Truly Cooperative Shoot'em up,7500,live,EUR,01-16-2018,cells-chaos-partner,Video Games,Paris France,10,1,2,2,12-12-2017,0,88,2322,1,4,3,12-12-2017,01-16-2018,ended
SLASHRUN - Cyberpunk runner with swipe blade action,5000,live,EUR,11-29-2017,slashrun-cyberpunk-runner-with-swipe-blade-action,Video Games,Paris France,10,0,2,4,11-22-2017,1,112,5405,0,0,0,10-30-2017,11-29-2017,ended
The End - Youâ€™re a fox in a cyberpunk world.,5000,live,EUR,02-28-2018,the-end-6,Video Games,Paris France,7,0,0,1,01-29-2018,1,248,5198,0,0,0,01-29-2018,02-28-2018,ended
Perfect Tides,30000,live,USD,02-28-2018,perfect-tides,Video Games,Philadelphia PA,15,0,0,0,01-29-2018,1,1045,53218,0,0,0,01-29-2018,02-28-2018,ended
Cynical 7 - The Misadventures of Tris,6000,live,USD,12-02-2017,cynical-7-the-misadventures-of-tris,Video Games,Portland OR,30,0,6,0,11-22-2017,0,101,2932,0,6,0,11-01-2017,12-01-2017,ended
Bevontule: Altar of Roots,50000,live,USD,03-01-2018,bevontule-altar-of-roots,Video Games,Portsmouth OH,15,2,0,9,01-29-2018,0,648,30018,3,13,66,01-29-2018,03-01-2018,ended
Raji: An Ancient Epic,120000,live,GBP,12-12-2017,raji-an-ancient-epic,Video Games,Pune India,16,10,4,68,11-22-2017,0,2121,66018,10,13,158,11-07-2017,12-12-2017,ended
The Untold Legacy,60000,live,USD,11-30-2017,the-untold-legacy,Video Games,Purcell OK,20,7,10,78,11-22-2017,0,588,17565,7,12,100,10-26-2017,11-30-2018,ended
Prehistoric Kingdom,55000,live,USD,01-05-2018,prehistoric-kingdom,Video Games,Richmond VA,5,0,0,14,12-06-2017,1,2013,88950,0,0,0,12-06-2017,01-05-2018,ended
Wild Mage - Phantom Twilight,50000,live,USD,02-09-2018,wild-mage-phantom-twilight,Video Games,San Diego CA,10,0,0,0,01-10-2018,0,115,6482,0,6,6,01-10-2018,02-09-2018,ended
Koikoi -RPG- by Radical Hyena,300000,live,JPY,12-16-2017,koikoi-rpg-by-radical-hyena,Video Games,Sapporo-shi Japan,3000,0,0,0,11-16-2017,0,30,32365,0,2,1,11-16-2017,12-16-2017,ended
NESmaker - Make NES Games. No coding required.,32000,live,USD,02-12-2018,nesmaker-make-nes-games-no-coding-required,Video Games,Sarasota FL,36,1,0,11,01-13-2018,1,2553,253403,0,0,0,01-13-2018,02-12-2018,ended
Cerebrawl - 2v2 4-player tag-team fighting,278000,live,USD,02-27-2018,cerebrawl-2v2-4-player-tag-team-fighting,Video Games,Seattle WA,10,3,1,6,01-23-2018,0,507,28316,4,11,23,01-23-2018,02-26-2018,ended
Xeno Crisis: a new game for the Sega Genesis / Mega Drive,20000,live,GBP,01-10-2018,xeno-crisis-a-new-game-for-the-sega-genesis-mega-d,Video Games,Southampton UK,15,3,0,21,12-11-2017,1,1289,72569,0,0,0,12-11-2017,01-10-2018,ended
Ara of the Wanderers,35000,live,USD,11-24-2017,ara-of-the-wanderers,Video Games,Spokane WA,20,3,2,12,11-22-2017,0,188,4558,3,2,13,10-25-2017,11-24-2017,ended
Brazen - Hardcore multiplayer FPS,7000,live,USD,12-30-2017,brazen-hardcore-multiplayer-fps,Video Games,St. Louis MO,10,0,0,0,11-30-2017,0,9,180,0,0,0,11-30-2017,12-16-2017,ended
Super Mighty Power Man,50000,live,EUR,12-14-2017,super-mighty-power-man,Video Games,Strasbourg France,10,1,1,11,11-14-2017,0,471,13755,2,5,49,11-14-2017,11-23-2017,ended
